,loss,base_loss,val_loss,val_base_loss,TrainType
585,0.01378648355603218,0.01378648355603218,2.6606483459472656,2.6606483459472656,Vanilla
586,0.011923578567802906,0.011923578567802906,2.846320390701294,2.846320390701294,Vanilla
587,0.013183649629354477,0.013183649629354477,2.875141143798828,2.875141143798828,Vanilla
588,0.012579698115587234,0.012579698115587234,3.1783018112182617,3.1783018112182617,Vanilla
589,0.01509084366261959,0.01509084366261959,3.0394625663757324,3.0394625663757324,Vanilla
590,0.012104193679988384,0.012104193679988384,3.1436567306518555,3.1436567306518555,Vanilla
591,0.012776543386280537,0.012776543386280537,3.2533023357391357,3.2533023357391357,Vanilla
592,0.01617524027824402,0.01617524027824402,3.2478229999542236,3.2478229999542236,Vanilla
593,1.3854368925094604,1.3854368925094604,,,Adversarial
594,0.08423873037099838,0.08423873037099838,2.2912724018096924,2.2912724018096924,Vanilla
595,0.009681427851319313,0.009681427851319313,2.5764260292053223,2.5764260292053223,Vanilla
596,0.015420464798808098,0.015420464798808098,2.68135929107666,2.68135929107666,Vanilla
597,0.010610196739435196,0.010610196739435196,2.868785858154297,2.868785858154297,Vanilla
598,0.012116600759327412,0.012116600759327412,2.9808599948883057,2.9808599948883057,Vanilla
599,0.012985389679670334,0.012985389679670334,3.1262154579162598,3.1262154579162598,Vanilla
600,0.014543700963258743,0.014543700963258743,3.0521697998046875,3.0521697998046875,Vanilla
601,0.015806324779987335,0.015806324779987335,3.1804251670837402,3.1804251670837402,Vanilla
602,0.011627811938524246,0.011627811938524246,3.283500909805298,3.283500909805298,Vanilla
603,0.012411518953740597,0.012411518953740597,3.475031614303589,3.475031614303589,Vanilla
604,1.357145071029663,1.357145071029663,,,Adversarial
605,0.08508909493684769,0.08508909493684769,2.293651819229126,2.293651819229126,Vanilla
606,0.009042173624038696,0.009042173624038696,2.7401576042175293,2.7401576042175293,Vanilla
607,0.012586145661771297,0.012586145661771297,2.8568599224090576,2.8568599224090576,Vanilla
608,0.014494509436190128,0.014494509436190128,2.9666199684143066,2.9666199684143066,Vanilla
609,0.01216753851622343,0.01216753851622343,3.2936999797821045,3.2936999797821045,Vanilla
610,0.01311578694730997,0.01311578694730997,3.26690936088562,3.26690936088562,Vanilla
611,0.015984391793608665,0.015984391793608665,3.4734508991241455,3.4734508991241455,Vanilla
612,0.010814545676112175,0.010814545676112175,3.238109588623047,3.238109588623047,Vanilla
613,0.014955581165850163,0.014955581165850163,3.466129779815674,3.466129779815674,Vanilla
614,0.01234819833189249,0.01234819833189249,3.4392566680908203,3.4392566680908203,Vanilla
615,1.3693008422851562,1.3693008422851562,,,Adversarial
616,0.0732426643371582,0.0732426643371582,2.352104902267456,2.352104902267456,Vanilla
617,0.01076358463615179,0.01076358463615179,2.570821762084961,2.570821762084961,Vanilla
618,0.012730513699352741,0.012730513699352741,2.745856523513794,2.745856523513794,Vanilla
619,0.013288723304867744,0.013288723304867744,2.9114723205566406,2.9114723205566406,Vanilla
620,0.013550123199820518,0.013550123199820518,2.966247081756592,2.966247081756592,Vanilla
621,0.01178776752203703,0.01178776752203703,3.087709426879883,3.087709426879883,Vanilla
622,0.013177163898944855,0.013177163898944855,3.237104654312134,3.237104654312134,Vanilla
623,0.011741935275495052,0.011741935275495052,3.318190336227417,3.318190336227417,Vanilla
624,0.014479678124189377,0.014479678124189377,3.326608180999756,3.326608180999756,Vanilla
625,0.012764139100909233,0.012764139100909233,3.5616395473480225,3.5616395473480225,Vanilla
626,1.3687708377838135,1.3687708377838135,,,Adversarial
627,0.08019315451383591,0.08019315451383591,2.2592616081237793,2.2592616081237793,Vanilla
628,0.009253078140318394,0.009253078140318394,2.571413516998291,2.571413516998291,Vanilla
629,0.011920122429728508,0.011920122429728508,2.8254623413085938,2.8254623413085938,Vanilla
630,0.013825071044266224,0.013825071044266224,2.879676580429077,2.879676580429077,Vanilla
631,0.011519779451191425,0.011519779451191425,2.9882166385650635,2.9882166385650635,Vanilla
632,0.013022242113947868,0.013022242113947868,3.2332301139831543,3.2332301139831543,Vanilla
633,0.011493254452943802,0.011493254452943802,3.296095132827759,3.296095132827759,Vanilla
634,0.013236010447144508,0.013236010447144508,3.3530664443969727,3.3530664443969727,Vanilla
635,0.01340968906879425,0.01340968906879425,3.361402750015259,3.361402750015259,Vanilla
636,0.012678085826337337,0.012678085826337337,3.5288331508636475,3.5288331508636475,Vanilla
637,1.379597544670105,1.379597544670105,,,Adversarial
638,0.07920478284358978,0.07920478284358978,2.2731587886810303,2.2731587886810303,Vanilla
639,0.00917914230376482,0.00917914230376482,2.486453056335449,2.486453056335449,Vanilla
640,0.011105896905064583,0.011105896905064583,2.733942747116089,2.733942747116089,Vanilla
641,0.011406924575567245,0.011406924575567245,3.189343214035034,3.189343214035034,Vanilla
642,0.015127673745155334,0.015127673745155334,3.152228593826294,3.152228593826294,Vanilla
643,0.010233561508357525,0.010233561508357525,3.2272119522094727,3.2272119522094727,Vanilla
644,0.011577754281461239,0.011577754281461239,3.2259433269500732,3.2259433269500732,Vanilla
645,0.012001735158264637,0.012001735158264637,3.2825846672058105,3.2825846672058105,Vanilla
646,0.01611674763262272,0.01611674763262272,3.347522497177124,3.347522497177124,Vanilla
647,0.013567369431257248,0.013567369431257248,3.511431932449341,3.511431932449341,Vanilla
648,1.3619943857192993,1.3619943857192993,,,Adversarial
649,0.07846328616142273,0.07846328616142273,2.2597575187683105,2.2597575187683105,Vanilla
650,0.009261047467589378,0.009261047467589378,2.631460666656494,2.631460666656494,Vanilla
651,0.012441783212125301,0.012441783212125301,2.8695220947265625,2.8695220947265625,Vanilla
652,0.012021789327263832,0.012021789327263832,2.929388999938965,2.929388999938965,Vanilla
653,0.013428710401058197,0.013428710401058197,3.1975948810577393,3.1975948810577393,Vanilla
654,0.014201652258634567,0.014201652258634567,3.1567156314849854,3.1567156314849854,Vanilla
655,0.01245594397187233,0.01245594397187233,3.3327293395996094,3.3327293395996094,Vanilla
656,0.013154149986803532,0.013154149986803532,3.485442638397217,3.485442638397217,Vanilla
657,0.015043499879539013,0.015043499879539013,3.3183531761169434,3.3183531761169434,Vanilla
658,0.010521217249333858,0.010521217249333858,3.5842175483703613,3.5842175483703613,Vanilla
659,1.3550200462341309,1.3550200462341309,,,Adversarial
660,0.0781724750995636,0.0781724750995636,2.370272636413574,2.370272636413574,Vanilla
